run,k,noise_eps,changed_pct,feature_set
1,6,0.05,41.31605520026927,full
2,6,0.05,1.4978121844496803,full
3,6,0.05,41.433860652978794,full
4,6,0.05,1.2790306294177045,full
5,6,0.05,41.31605520026927,full
6,6,0.05,1.682935038707506,full
7,6,0.05,41.55166610568833,full
8,6,0.05,42.224840121171326,full
9,6,0.05,41.28239649949512,full
10,6,0.05,41.02995624368899,full
11,6,0.05,41.28239649949512,full
12,6,0.05,41.38337260181757,full
13,6,0.05,34.348704140020196,full
14,6,0.05,40.97946819252777,full
15,6,0.05,1.9522046449007069,full
16,6,0.05,34.16358128576237,full
17,6,0.05,1.3631773813530799,full
18,6,0.05,42.006058566139345,full
19,6,0.05,34.26455738808482,full
20,6,0.05,1.2622012790306294,full
