run_i,run_j,ARI,k,bootstrap,bootstrap_frac
0,1,0.9399934123156399,6,True,0.8
0,2,0.27542012275484185,6,True,0.8
0,3,0.6083004796491452,6,True,0.8
0,4,0.2626511850259994,6,True,0.8
0,5,0.5463671309247936,6,True,0.8
0,6,0.26618564019404767,6,True,0.8
0,7,0.6019866828057918,6,True,0.8
0,8,0.9575085468363105,6,True,0.8
0,9,0.9541817935508596,6,True,0.8
0,10,0.618950936623023,6,True,0.8
0,11,0.2623369986880473,6,True,0.8
0,12,0.2731919669312598,6,True,0.8
0,13,0.6380678321397224,6,True,0.8
0,14,0.5322552501881986,6,True,0.8
0,15,0.9387935604325394,6,True,0.8
0,16,0.652470570257263,6,True,0.8
0,17,0.2683490073601845,6,True,0.8
0,18,0.933112952181898,6,True,0.8
0,19,0.9369369807929475,6,True,0.8
1,2,0.24257357057558987,6,True,0.8
1,3,0.6361387838359581,6,True,0.8
1,4,0.23228727921101952,6,True,0.8
1,5,0.5632898479083865,6,True,0.8
1,6,0.23503977811738366,6,True,0.8
1,7,0.5665102108338501,6,True,0.8
1,8,0.9202198313609147,6,True,0.8
1,9,0.9239601117648316,6,True,0.8
1,10,0.5824710278416413,6,True,0.8
1,11,0.23255964851168567,6,True,0.8
1,12,0.24071646659082088,6,True,0.8
1,13,0.6003372755050042,6,True,0.8
1,14,0.5482990216886222,6,True,0.8
1,15,0.9192569471581501,6,True,0.8
1,16,0.6146895682822225,6,True,0.8
1,17,0.23696508021906537,6,True,0.8
1,18,0.9716416969577306,6,True,0.8
1,19,0.8952297146867807,6,True,0.8
2,3,0.38836754893781844,6,True,0.8
2,4,0.9221770860809702,6,True,0.8
2,5,0.36362755186986373,6,True,0.8
2,6,0.930607842897289,6,True,0.8
2,7,0.5265222974493516,6,True,0.8
2,8,0.2775003953502779,6,True,0.8
2,9,0.27356358986137375,6,True,0.8
2,10,0.5203652143652503,6,True,0.8
2,11,0.9469763502895315,6,True,0.8
2,12,0.9459110747992018,6,True,0.8
2,13,0.49652500739423705,6,True,0.8
2,14,0.36136667389715205,6,True,0.8
2,15,0.26924800276901845,6,True,0.8
2,16,0.4785938716349329,6,True,0.8
2,17,0.9429590336318076,6,True,0.8
2,18,0.24209895912522617,6,True,0.8
2,19,0.29588715174467595,6,True,0.8
3,4,0.36582760786111973,6,True,0.8
3,5,0.8625472882038497,6,True,0.8
3,6,0.3668066508436691,6,True,0.8
3,7,0.7509694610306702,6,True,0.8
3,8,0.5974994463599529,6,True,0.8
3,9,0.5988745582099491,6,True,0.8
3,10,0.77130969343815,6,True,0.8
3,11,0.38197874792896047,6,True,0.8
3,12,0.3731900153027155,6,True,0.8
3,13,0.7962603751796538,6,True,0.8
3,14,0.8360008540422358,6,True,0.8
3,15,0.6059516735181969,6,True,0.8
3,16,0.8096960251223232,6,True,0.8
3,17,0.371870266640967,6,True,0.8
3,18,0.6392268537555323,6,True,0.8
3,19,0.5869222322828461,6,True,0.8
4,5,0.35007768365096775,6,True,0.8
4,6,0.983254375178836,6,True,0.8
4,7,0.4944442035182928,6,True,0.8
4,8,0.2629300796322999,6,True,0.8
4,9,0.25948825669755504,6,True,0.8
4,10,0.48538652694717205,6,True,0.8
4,11,0.9476044788679587,6,True,0.8
4,12,0.957289098688654,6,True,0.8
4,13,0.4617445052471946,6,True,0.8
4,14,0.3480992556513037,6,True,0.8
4,15,0.2549968684555651,6,True,0.8
4,16,0.44531228331194,6,True,0.8
4,17,0.9707243984333026,6,True,0.8
4,18,0.23163623128685673,6,True,0.8
4,19,0.2810365266903321,6,True,0.8
5,6,0.34910101489435985,6,True,0.8
5,7,0.6723369896335714,6,True,0.8
5,8,0.5253673243453592,6,True,0.8
5,9,0.5260889294085364,6,True,0.8
5,10,0.6905863649240862,6,True,0.8
5,11,0.3672857035205079,6,True,0.8
5,12,0.350185767870066,6,True,0.8
5,13,0.7063496802952782,6,True,0.8
5,14,0.9664767385456831,6,True,0.8
5,15,0.5312478310649446,6,True,0.8
5,16,0.7179748868352109,6,True,0.8
5,17,0.3524827551388204,6,True,0.8
5,18,0.569485747379302,6,True,0.8
5,19,0.5184889698683911,6,True,0.8
6,7,0.4947977445554203,6,True,0.8
6,8,0.26669556976995545,6,True,0.8
6,9,0.263202168899799,6,True,0.8
6,10,0.4900228712055906,6,True,0.8
6,11,0.9402101436445732,6,True,0.8
6,12,0.9649991546904405,6,True,0.8
6,13,0.466430183278787,6,True,0.8
6,14,0.3484924248786684,6,True,0.8
6,15,0.25858290842926823,6,True,0.8
6,16,0.44845435147131923,6,True,0.8
6,17,0.9789919463988914,6,True,0.8
6,18,0.2342755813617795,6,True,0.8
6,19,0.2841473549929059,6,True,0.8
7,8,0.6267364615874621,6,True,0.8
7,9,0.6232789778083074,6,True,0.8
7,10,0.9646356982911787,6,True,0.8
7,11,0.5072632928607566,6,True,0.8
7,12,0.5094748376056992,6,True,0.8
7,13,0.9410305227877074,6,True,0.8
7,14,0.6495745903242363,6,True,0.8
7,15,0.6136515095070207,6,True,0.8
7,16,0.9174852120305976,6,True,0.8
7,17,0.5044738041492508,6,True,0.8
7,18,0.5651194889413281,6,True,0.8
7,19,0.6453062516596193,6,True,0.8
8,9,0.9903181295704937,6,True,0.8
8,10,0.6440722968640425,6,True,0.8
8,11,0.26341620953687034,6,True,0.8
8,12,0.2742397371747986,6,True,0.8
8,13,0.6627964612306194,6,True,0.8
8,14,0.5117255845020472,6,True,0.8
8,15,0.962930327324978,6,True,0.8
8,16,0.6784643159072337,6,True,0.8
8,17,0.26929381844970174,6,True,0.8
8,18,0.9093619063327999,6,True,0.8
8,19,0.9640931424982424,6,True,0.8
9,10,0.6390678047932604,6,True,0.8
9,11,0.25913650382378883,6,True,0.8
9,12,0.27123599298787554,6,True,0.8
9,13,0.6582157036066312,6,True,0.8
9,14,0.5133041487344391,6,True,0.8
9,15,0.9702150909435739,6,True,0.8
9,16,0.6738063866142365,6,True,0.8
9,17,0.26633321071742583,6,True,0.8
9,18,0.9077700349984222,6,True,0.8
9,19,0.9631432637118352,6,True,0.8
10,11,0.5012236082207893,6,True,0.8
10,12,0.5020029214468418,6,True,0.8
10,13,0.9619141191304243,6,True,0.8
10,14,0.6690442050684833,6,True,0.8
10,15,0.6301976210561765,6,True,0.8
10,16,0.9379632282307876,6,True,0.8
10,17,0.49669401275187236,6,True,0.8
10,18,0.5819886957956419,6,True,0.8
10,19,0.6594374316180355,6,True,0.8
11,12,0.9248783033829979,6,True,0.8
11,13,0.4775273106445357,6,True,0.8
11,14,0.36593057446779936,6,True,0.8
11,15,0.25527448363526656,6,True,0.8
11,16,0.45979436896201126,6,True,0.8
11,17,0.9405487282634748,6,True,0.8
11,18,0.23230008537122468,6,True,0.8
11,19,0.27924711549545567,6,True,0.8
12,13,0.478440605638487,6,True,0.8
12,14,0.34801627578965705,6,True,0.8
12,15,0.2663272819179881,6,True,0.8
12,16,0.46078706183722506,6,True,0.8
12,17,0.9824083647519658,6,True,0.8
12,18,0.2398231514022464,6,True,0.8
12,19,0.2927147898665985,6,True,0.8
13,14,0.6848732095481311,6,True,0.8
13,15,0.6480330017984239,6,True,0.8
13,16,0.9716423716153096,6,True,0.8
13,17,0.47285098076177584,6,True,0.8
13,18,0.5994502073669048,6,True,0.8
13,19,0.6739139319283997,6,True,0.8
14,15,0.5183067312945607,6,True,0.8
14,16,0.6987901752893403,6,True,0.8
14,17,0.34994055675230146,6,True,0.8
14,18,0.5547353504881507,6,True,0.8
14,19,0.5046382854649504,6,True,0.8
15,16,0.6638231063832017,6,True,0.8
15,17,0.26173499638316616,6,True,0.8
15,18,0.9150635290490742,6,True,0.8
15,19,0.9367005738903278,6,True,0.8
16,17,0.4563124649270149,6,True,0.8
16,18,0.6140753782639287,6,True,0.8
16,19,0.6843221215693303,6,True,0.8
17,18,0.23624204744882155,6,True,0.8
17,19,0.2880890446679158,6,True,0.8
18,19,0.8848462087545165,6,True,0.8
